datetime,symbol,exchange,open,high,low,close,volume,turnover,open_interest
2017-11-13 21:15:00,MHImain,HKFE,29139.0,29185.0,29137.0,29176.0,526.0,15341941.0,0.0
2017-11-14 01:15:00,MHImain,HKFE,29176.0,29275.0,29134.0,29180.0,17414.0,508463651.0,0.0
2017-11-14 11:00:00,MHImain,HKFE,29181.0,29208.0,29136.0,29176.0,13812.0,402900822.0,0.0
2017-11-14 17:15:00,MHImain,HKFE,29177.0,29177.0,29146.0,29155.0,1315.0,38344991.0,0.0
2017-11-14 21:15:00,MHImain,HKFE,29155.0,29166.0,29102.0,29114.0,4104.0,119551720.0,0.0
2017-11-15 01:15:00,MHImain,HKFE,29114.0,29114.0,28918.0,28990.0,21213.0,615334392.0,0.0
2017-11-15 11:00:00,MHImain,HKFE,28989.0,28990.0,28867.0,28890.0,20131.0,582371015.0,0.0
2017-11-15 17:15:00,MHImain,HKFE,28894.0,28951.0,28885.0,28926.0,3686.0,106586275.0,0.0
2017-11-15 21:15:00,MHImain,HKFE,28926.0,29000.0,28862.0,28999.0,5962.0,172440672.0,0.0
2017-11-16 01:15:00,MHImain,HKFE,28999.0,29016.0,28889.0,28991.0,15661.0,453408828.0,0.0
2017-11-16 11:00:00,MHImain,HKFE,28990.0,29094.0,28956.0,29056.0,16997.0,493169748.0,0.0
2017-11-16 17:15:00,MHImain,HKFE,29072.0,29135.0,29059.0,29116.0,2769.0,80595962.0,0.0
2017-11-16 21:15:00,MHImain,HKFE,29117.0,29229.0,29112.0,29229.0,4745.0,138458256.0,0.0
2017-11-17 01:15:00,MHImain,HKFE,29229.0,29310.0,29141.0,29206.0,20287.0,592940441.0,0.0
2017-11-17 11:00:00,MHImain,HKFE,29205.0,29253.0,29146.0,29192.0,17055.0,498089184.0,0.0
2017-11-17 17:15:00,MHImain,HKFE,29192.0,29192.0,29118.0,29146.0,2952.0,86026851.0,0.0
2017-11-17 21:15:00,MHImain,HKFE,29147.0,29166.0,29125.0,29153.0,3013.0,87813193.0,0.0
2017-11-18 01:15:00,MHImain,HKFE,29153.0,29153.0,29153.0,29153.0,0.0,0.0,0.0
2017-11-20 01:15:00,MHImain,HKFE,29154.0,29238.0,29062.0,29133.0,18455.0,537968485.0,0.0
2017-11-20 11:00:00,MHImain,HKFE,29135.0,29220.0,29091.0,29194.0,15862.0,462660883.0,0.0
2017-11-20 17:15:00,MHImain,HKFE,29210.0,29230.0,29201.0,29218.0,1454.0,42481358.0,0.0
2017-11-20 21:15:00,MHImain,HKFE,29217.0,29343.0,29217.0,29339.0,3624.0,106062067.0,0.0
2017-11-21 01:15:00,MHImain,HKFE,29339.0,29516.0,29284.0,29502.0,23548.0,692942652.0,0.0
2017-11-21 11:00:00,MHImain,HKFE,29502.0,29850.0,29473.0,29846.0,37625.0,1115652789.0,0.0
2017-11-21 17:15:00,MHImain,HKFE,29851.0,30210.0,29823.0,30144.0,9600.0,288342527.0,0.0
2017-11-21 21:15:00,MHImain,HKFE,30142.0,30163.0,30056.0,30100.0,6047.0,181998860.0,0.0
2017-11-22 01:15:00,MHImain,HKFE,30100.0,30208.0,30004.0,30157.0,25133.0,756616800.0,0.0
2017-11-22 11:00:00,MHImain,HKFE,30154.0,30189.0,29932.0,30048.0,29243.0,878843901.0,0.0
2017-11-22 17:15:00,MHImain,HKFE,30048.0,30084.0,30004.0,30075.0,2992.0,89899153.0,0.0
2017-11-22 21:15:00,MHImain,HKFE,30075.0,30083.0,30018.0,30035.0,2522.0,75807965.0,0.0
2017-11-23 01:15:00,MHImain,HKFE,30035.0,30169.0,29989.0,30136.0,21143.0,635971472.0,0.0
2017-11-23 11:00:00,MHImain,HKFE,30138.0,30143.0,29607.0,29821.0,42953.0,1283740435.0,0.0
2017-11-23 17:15:00,MHImain,HKFE,29849.0,29945.0,29821.0,29872.0,5913.0,176685665.0,0.0
2017-11-23 21:15:00,MHImain,HKFE,29870.0,29895.0,29852.0,29883.0,1836.0,54844755.0,0.0
2017-11-24 01:15:00,MHImain,HKFE,29883.0,29959.0,29737.0,29851.0,32758.0,977484395.0,0.0
2017-11-24 11:00:00,MHImain,HKFE,29852.0,29933.0,29777.0,29913.0,22857.0,682656354.0,0.0
2017-11-24 17:15:00,MHImain,HKFE,29913.0,30045.0,29885.0,30029.0,4567.0,136911194.0,0.0
2017-11-24 21:15:00,MHImain,HKFE,30030.0,30041.0,29992.0,30030.0,2314.0,69457418.0,0.0
2017-11-25 01:15:00,MHImain,HKFE,30030.0,30030.0,30030.0,30030.0,0.0,0.0,0.0
2017-11-27 01:15:00,MHImain,HKFE,29950.0,29957.0,29642.0,29750.0,27619.0,822066118.0,0.0
2017-11-27 11:00:00,MHImain,HKFE,29749.0,29796.0,29654.0,29770.0,21504.0,639138119.0,0.0
2017-11-27 17:15:00,MHImain,HKFE,29785.0,29867.0,29771.0,29787.0,3496.0,104251125.0,0.0
2017-11-27 21:15:00,MHImain,HKFE,29787.0,29832.0,29718.0,29738.0,3248.0,96770168.0,0.0
2017-11-28 01:15:00,MHImain,HKFE,29738.0,29738.0,29526.0,29576.0,19938.0,590170964.0,0.0
2017-11-28 11:00:00,MHImain,HKFE,29574.0,29703.0,29373.0,29656.0,29249.0,864048965.0,0.0
2017-11-28 17:15:00,MHImain,HKFE,29660.0,29741.0,29646.0,29684.0,2605.0,77351317.0,0.0
2017-11-28 21:15:00,MHImain,HKFE,29682.0,29763.0,29673.0,29753.0,2416.0,71767229.0,0.0
2017-11-29 01:15:00,MHImain,HKFE,29753.0,29842.0,29567.0,29588.0,4266.0,126592938.0,0.0
2017-11-29 11:00:00,MHImain,HKFE,29580.0,29636.0,29560.0,29622.0,2023.0,59887876.0,0.0
2017-11-29 17:15:00,MHImain,HKFE,29665.0,29691.0,29625.0,29645.0,2802.0,83104852.0,0.0
2017-11-29 21:15:00,MHImain,HKFE,29643.0,29673.0,29431.0,29450.0,7406.0,218914996.0,0.0
2017-11-30 01:15:00,MHImain,HKFE,29450.0,29478.0,29185.0,29345.0,27830.0,816368695.0,0.0
2017-11-30 11:00:00,MHImain,HKFE,29345.0,29390.0,29139.0,29311.0,35437.0,1037334146.0,0.0
2017-11-30 17:15:00,MHImain,HKFE,29320.0,29415.0,29320.0,29393.0,4746.0,139409446.0,0.0
2017-11-30 21:15:00,MHImain,HKFE,29395.0,29440.0,29345.0,29373.0,5889.0,173094308.0,0.0
2017-12-01 01:15:00,MHImain,HKFE,29373.0,29385.0,29049.0,29257.0,33597.0,983169878.0,0.0
2017-12-01 11:00:00,MHImain,HKFE,29258.0,29275.0,29078.0,29111.0,33603.0,980483612.0,0.0
2017-12-01 17:15:00,MHImain,HKFE,29107.0,29107.0,28908.0,29038.0,7928.0,229855385.0,0.0
2017-12-01 21:15:00,MHImain,HKFE,29039.0,29126.0,28806.0,28846.0,10411.0,302167296.0,0.0
2017-12-02 01:15:00,MHImain,HKFE,28846.0,28846.0,28846.0,28846.0,0.0,0.0,0.0
2017-12-04 01:15:00,MHImain,HKFE,29133.0,29270.0,28828.0,29244.0,35166.0,1022199762.0,0.0
2017-12-04 11:00:00,MHImain,HKFE,29244.0,29354.0,29161.0,29190.0,29030.0,849590983.0,0.0
2017-12-04 17:15:00,MHImain,HKFE,29200.0,29220.0,29155.0,29215.0,3148.0,91884593.0,0.0
2017-12-04 21:15:00,MHImain,HKFE,29217.0,29250.0,29018.0,29088.0,7893.0,230043922.0,0.0
2017-12-05 01:15:00,MHImain,HKFE,29088.0,29170.0,28883.0,29046.0,29625.0,861138207.0,0.0
2017-12-05 11:00:00,MHImain,HKFE,29046.0,29118.0,28860.0,28893.0,29007.0,841107135.0,0.0
2017-12-05 17:15:00,MHImain,HKFE,28881.0,28895.0,28792.0,28853.0,5884.0,169687899.0,0.0
2017-12-05 21:15:00,MHImain,HKFE,28854.0,29012.0,28836.0,28980.0,8432.0,243848016.0,0.0
2017-12-06 01:15:00,MHImain,HKFE,28980.0,28980.0,28534.0,28547.0,39070.0,1125416088.0,0.0
2017-12-06 11:00:00,MHImain,HKFE,28545.0,28598.0,28165.0,28200.0,66877.0,1899073908.0,0.0
2017-12-06 17:15:00,MHImain,HKFE,28229.0,28293.0,28193.0,28286.0,4926.0,139149933.0,0.0
2017-12-06 21:15:00,MHImain,HKFE,28286.0,28310.0,28172.0,28282.0,9744.0,275315868.0,0.0
2017-12-07 01:15:00,MHImain,HKFE,28282.0,28477.0,28149.0,28187.0,31974.0,905626563.0,0.0
2017-12-07 11:00:00,MHImain,HKFE,28189.0,28445.0,28157.0,28323.0,42170.0,1193790971.0,0.0
2017-12-07 17:15:00,MHImain,HKFE,28305.0,28392.0,28251.0,28260.0,5557.0,157401555.0,0.0
2017-12-07 21:15:00,MHImain,HKFE,28262.0,28439.0,28227.0,28439.0,8075.0,228824774.0,0.0
2017-12-08 01:15:00,MHImain,HKFE,28439.0,28488.0,28332.0,28453.0,29899.0,849958847.0,0.0
2017-12-08 11:00:00,MHImain,HKFE,28452.0,28715.0,28429.0,28621.0,33602.0,960793120.0,0.0
2017-12-08 17:15:00,MHImain,HKFE,28617.0,28681.0,28614.0,28643.0,3000.0,85937039.0,0.0
2017-12-08 21:15:00,MHImain,HKFE,28642.0,28720.0,28617.0,28661.0,5859.0,167989947.0,0.0
2017-12-09 01:15:00,MHImain,HKFE,28661.0,28661.0,28661.0,28661.0,0.0,0.0,0.0
2017-12-11 01:15:00,MHImain,HKFE,28609.0,28812.0,28589.0,28797.0,29173.0,837853650.0,0.0
2017-12-11 11:00:00,MHImain,HKFE,28797.0,28981.0,28733.0,28908.0,30862.0,890539594.0,0.0
2017-12-11 17:15:00,MHImain,HKFE,28912.0,28946.0,28888.0,28912.0,3353.0,96957850.0,0.0
2017-12-11 21:15:00,MHImain,HKFE,28913.0,28970.0,28896.0,28940.0,4108.0,118865490.0,0.0
