symbol,exchange,datetime,open,high,low,close,volume,turnover,open_interest
MHImain,HKFE,2017-11-24 00:00:00,29866.0,29877.0,29852.0,29870.0,445.0,13289158.0,0.0
MHImain,HKFE,2017-11-24 08:00:00,29895.0,29959.0,29737.0,29841.0,34847.0,1039881420.0,0.0
MHImain,HKFE,2017-11-24 12:00:00,29841.0,29933.0,29777.0,29876.0,15595.0,465632163.0,0.0
MHImain,HKFE,2017-11-24 16:00:00,29875.0,29979.0,29862.0,29966.0,6956.0,207991322.0,0.0
MHImain,HKFE,2017-11-24 20:00:00,29967.0,30045.0,29961.0,30000.0,4169.0,125116805.0,0.0
MHImain,HKFE,2017-11-25 00:00:00,30000.0,30039.0,29992.0,30030.0,607.0,18218011.0,0.0
MHImain,HKFE,2017-11-27 08:00:00,29950.0,29957.0,29642.0,29709.0,28921.0,860779778.0,0.0
MHImain,HKFE,2017-11-27 12:00:00,29707.0,29769.0,29654.0,29741.0,14473.0,429997011.0,0.0
MHImain,HKFE,2017-11-27 16:00:00,29743.0,29867.0,29716.0,29856.0,7391.0,220005097.0,0.0
MHImain,HKFE,2017-11-27 20:00:00,29856.0,29861.0,29771.0,29804.0,4001.0,119269111.0,0.0
MHImain,HKFE,2017-11-28 00:00:00,29805.0,29817.0,29782.0,29782.0,367.0,10936744.0,0.0
MHImain,HKFE,2017-11-28 08:00:00,29694.0,29701.0,29526.0,29552.0,21367.0,632404428.0,0.0
MHImain,HKFE,2017-11-28 12:00:00,29550.0,29574.0,29373.0,29545.0,18943.0,558701426.0,0.0
MHImain,HKFE,2017-11-28 16:00:00,29547.0,29715.0,29541.0,29702.0,10343.0,306630750.0,0.0
MHImain,HKFE,2017-11-28 20:00:00,29702.0,29741.0,29670.0,29703.0,2775.0,82422180.0,0.0
MHImain,HKFE,2017-11-29 00:00:00,29704.0,29718.0,29692.0,29699.0,450.0,13366616.0,0.0
MHImain,HKFE,2017-11-29 08:00:00,29833.0,29842.0,29560.0,29603.0,4574.0,135706412.0,0.0
MHImain,HKFE,2017-11-29 12:00:00,29596.0,29636.0,29563.0,29624.0,1410.0,41739106.0,0.0
MHImain,HKFE,2017-11-29 16:00:00,29622.0,29679.0,29622.0,29664.0,1946.0,57700713.0,0.0
MHImain,HKFE,2017-11-29 20:00:00,29663.0,29691.0,29605.0,29615.0,3630.0,107607962.0,0.0
MHImain,HKFE,2017-11-30 00:00:00,29614.0,29614.0,29488.0,29510.0,3393.0,100239129.0,0.0
