symbol,exchange,datetime,open,high,low,close,volume,turnover,open_interest
MHImain,HKFE,2017-11-24 00:15:00,29866.0,29877.0,29852.0,29870.0,445.0,13289158.0,0.0
MHImain,HKFE,2017-11-24 01:15:00,29870.0,29870.0,29870.0,29870.0,0.0,0.0,0.0
MHImain,HKFE,2017-11-24 02:15:00,29870.0,29870.0,29870.0,29870.0,0.0,0.0,0.0
MHImain,HKFE,2017-11-24 03:00:00,29870.0,29870.0,29870.0,29870.0,0.0,0.0,0.0
MHImain,HKFE,2017-11-24 10:15:00,29895.0,29959.0,29768.0,29812.0,22932.0,684657198.0,0.0
MHImain,HKFE,2017-11-24 11:15:00,29812.0,29892.0,29737.0,29841.0,11915.0,355224222.0,0.0
MHImain,HKFE,2017-11-24 12:00:00,29841.0,29860.0,29777.0,29837.0,3809.0,113586824.0,0.0
MHImain,HKFE,2017-11-24 14:00:00,29838.0,29887.0,29781.0,29886.0,5457.0,162821476.0,0.0
MHImain,HKFE,2017-11-24 15:00:00,29887.0,29933.0,29868.0,29876.0,6329.0,189223863.0,0.0
MHImain,HKFE,2017-11-24 16:00:00,29875.0,29913.0,29862.0,29895.0,3281.0,98063034.0,0.0
MHImain,HKFE,2017-11-24 16:30:00,29897.0,29917.0,29881.0,29913.0,1892.0,56564132.0,0.0
MHImain,HKFE,2017-11-24 18:15:00,29913.0,29925.0,29885.0,29913.0,655.0,19587425.0,0.0
MHImain,HKFE,2017-11-24 19:15:00,29911.0,29979.0,29908.0,29966.0,1128.0,33776731.0,0.0
MHImain,HKFE,2017-11-24 20:15:00,29967.0,30033.0,29961.0,30027.0,1291.0,38729588.0,0.0
MHImain,HKFE,2017-11-24 21:15:00,30027.0,30045.0,29981.0,30029.0,1493.0,44817450.0,0.0
MHImain,HKFE,2017-11-24 22:15:00,30030.0,30037.0,30009.0,30018.0,615.0,18463147.0,0.0
MHImain,HKFE,2017-11-24 23:15:00,30017.0,30018.0,29996.0,30000.0,770.0,23106620.0,0.0
MHImain,HKFE,2017-11-25 00:15:00,30000.0,30039.0,29992.0,30030.0,607.0,18218011.0,0.0
MHImain,HKFE,2017-11-25 01:15:00,30030.0,30030.0,30030.0,30030.0,0.0,0.0,0.0
MHImain,HKFE,2017-11-25 02:15:00,30030.0,30030.0,30030.0,30030.0,0.0,0.0,0.0
MHImain,HKFE,2017-11-25 03:00:00,30030.0,30030.0,30030.0,30030.0,0.0,0.0,0.0
MHImain,HKFE,2017-11-27 10:15:00,29950.0,29957.0,29655.0,29663.0,20821.0,619969312.0,0.0
MHImain,HKFE,2017-11-27 11:15:00,29662.0,29790.0,29642.0,29709.0,8100.0,240810466.0,0.0
MHImain,HKFE,2017-11-27 12:00:00,29707.0,29769.0,29705.0,29743.0,2549.0,75821166.0,0.0
MHImain,HKFE,2017-11-27 14:00:00,29743.0,29760.0,29671.0,29712.0,5900.0,175314535.0,0.0
MHImain,HKFE,2017-11-27 15:00:00,29709.0,29746.0,29654.0,29741.0,6024.0,178861310.0,0.0
MHImain,HKFE,2017-11-27 16:00:00,29743.0,29764.0,29716.0,29734.0,3437.0,102211286.0,0.0
MHImain,HKFE,2017-11-27 16:30:00,29736.0,29796.0,29726.0,29770.0,2292.0,68216162.0,0.0
MHImain,HKFE,2017-11-27 18:15:00,29785.0,29845.0,29785.0,29827.0,1110.0,33100538.0,0.0
MHImain,HKFE,2017-11-27 19:15:00,29826.0,29867.0,29826.0,29856.0,552.0,16477111.0,0.0
MHImain,HKFE,2017-11-27 20:15:00,29856.0,29861.0,29807.0,29812.0,870.0,25956924.0,0.0
MHImain,HKFE,2017-11-27 21:15:00,29812.0,29816.0,29771.0,29787.0,964.0,28716552.0,0.0
MHImain,HKFE,2017-11-27 22:15:00,29787.0,29832.0,29784.0,29807.0,1035.0,30854429.0,0.0
MHImain,HKFE,2017-11-27 23:15:00,29804.0,29828.0,29780.0,29804.0,1132.0,33741206.0,0.0
MHImain,HKFE,2017-11-28 00:15:00,29805.0,29817.0,29782.0,29782.0,367.0,10936744.0,0.0
MHImain,HKFE,2017-11-28 01:15:00,29782.0,29782.0,29782.0,29782.0,0.0,0.0,0.0
MHImain,HKFE,2017-11-28 02:15:00,29782.0,29782.0,29782.0,29782.0,0.0,0.0,0.0
MHImain,HKFE,2017-11-28 03:00:00,29782.0,29782.0,29782.0,29782.0,0.0,0.0,0.0
MHImain,HKFE,2017-11-28 10:15:00,29694.0,29701.0,29526.0,29631.0,14955.0,442736746.0,0.0
MHImain,HKFE,2017-11-28 11:15:00,29635.0,29636.0,29533.0,29552.0,6412.0,189667682.0,0.0
MHImain,HKFE,2017-11-28 12:00:00,29550.0,29574.0,29428.0,29442.0,4712.0,139088684.0,0.0
MHImain,HKFE,2017-11-28 14:00:00,29442.0,29552.0,29373.0,29533.0,9527.0,280712637.0,0.0
MHImain,HKFE,2017-11-28 15:00:00,29534.0,29568.0,29486.0,29545.0,4704.0,138900105.0,0.0
MHImain,HKFE,2017-11-28 16:00:00,29547.0,29690.0,29541.0,29640.0,6254.0,185284554.0,0.0
MHImain,HKFE,2017-11-28 16:30:00,29643.0,29703.0,29639.0,29656.0,2623.0,77829521.0,0.0
MHImain,HKFE,2017-11-28 18:15:00,29660.0,29699.0,29646.0,29674.0,800.0,23742553.0,0.0
MHImain,HKFE,2017-11-28 19:15:00,29673.0,29715.0,29650.0,29702.0,666.0,19774122.0,0.0
MHImain,HKFE,2017-11-28 20:15:00,29702.0,29741.0,29697.0,29704.0,562.0,16704899.0,0.0
MHImain,HKFE,2017-11-28 21:15:00,29702.0,29706.0,29670.0,29684.0,577.0,17129743.0,0.0
