symbol,exchange,datetime,open,high,low,close,volume,turnover,open_interest
MHImain,HKFE,2017-08-15 00:00:00,27177.0,27375.0,27097.0,27127.0,57903.0,1574659489.0,0.0
MHImain,HKFE,2017-08-16 00:00:00,27128.0,27394.0,27023.0,27387.0,52361.0,1422430036.0,0.0
MHImain,HKFE,2017-08-17 00:00:00,27378.0,27595.0,27233.0,27269.0,64657.0,1768719750.0,0.0
MHImain,HKFE,2017-08-18 00:00:00,27267.0,27295.0,26925.0,27030.0,60783.0,1641842840.0,0.0
MHImain,HKFE,2017-08-21 00:00:00,27040.0,27199.0,26949.0,27154.0,57274.0,1550071215.0,0.0
MHImain,HKFE,2017-08-22 00:00:00,27161.0,27495.0,27130.0,27430.0,47400.0,1294708795.0,0.0
MHImain,HKFE,2017-08-23 00:00:00,27429.0,27548.0,27382.0,27533.0,6078.0,166845234.0,0.0
MHImain,HKFE,2017-08-24 00:00:00,27512.0,27600.0,27465.0,27529.0,33331.0,914171932.0,0.0
MHImain,HKFE,2017-08-25 00:00:00,27533.0,27924.0,27433.0,27918.0,55010.0,1519835340.0,0.0
MHImain,HKFE,2017-08-28 00:00:00,27901.0,28072.0,27823.0,27893.0,53309.0,1487722877.0,0.0
MHImain,HKFE,2017-08-29 00:00:00,27881.0,27985.0,27659.0,27722.0,43302.0,1199373722.0,0.0
MHImain,HKFE,2017-08-30 00:00:00,27718.0,28031.0,27688.0,28020.0,10112.0,280074443.0,0.0
MHImain,HKFE,2017-08-31 00:00:00,27979.0,28014.0,27819.0,27935.0,46345.0,1290031415.0,0.0
MHImain,HKFE,2017-09-01 00:00:00,27943.0,28050.0,27851.0,27867.0,43309.0,1208463059.0,0.0
MHImain,HKFE,2017-09-04 00:00:00,27870.0,27968.0,27611.0,27755.0,53152.0,1471655709.0,0.0
MHImain,HKFE,2017-09-05 00:00:00,27760.0,27824.0,27629.0,27711.0,44567.0,1234715276.0,0.0
MHImain,HKFE,2017-09-06 00:00:00,27714.0,27750.0,27350.0,27584.0,59424.0,1631982724.0,0.0
MHImain,HKFE,2017-09-07 00:00:00,27580.0,27788.0,27430.0,27481.0,55707.0,1534957808.0,0.0
MHImain,HKFE,2017-09-08 00:00:00,27487.0,27686.0,27487.0,27680.0,47980.0,1321146794.0,0.0
MHImain,HKFE,2017-09-11 00:00:00,27688.0,27998.0,27636.0,27948.0,41948.0,1165332043.0,0.0
MHImain,HKFE,2017-09-12 00:00:00,27955.0,28036.0,27855.0,27932.0,37241.0,1034803044.0,0.0
MHImain,HKFE,2017-09-13 00:00:00,27934.0,27985.0,27711.0,27858.0,39254.0,1090965236.0,0.0
MHImain,HKFE,2017-09-14 00:00:00,27860.0,27870.0,27666.0,27780.0,39655.0,1099357084.0,0.0
MHImain,HKFE,2017-09-15 00:00:00,27773.0,27913.0,27457.0,27777.0,64775.0,1789416001.0,0.0
MHImain,HKFE,2017-09-18 00:00:00,27775.0,28168.0,27750.0,28166.0,44113.0,1232925926.0,0.0
MHImain,HKFE,2017-09-19 00:00:00,28158.0,28224.0,28013.0,28031.0,43706.0,1225818052.0,0.0
MHImain,HKFE,2017-09-20 00:00:00,28034.0,28128.0,27993.0,28127.0,34244.0,958949672.0,0.0
MHImain,HKFE,2017-09-21 00:00:00,28117.0,28174.0,28034.0,28124.0,39220.0,1100228876.0,0.0
MHImain,HKFE,2017-09-22 00:00:00,28122.0,28136.0,27772.0,27785.0,41337.0,1148915194.0,0.0
MHImain,HKFE,2017-09-25 00:00:00,27783.0,27911.0,27464.0,27474.0,49671.0,1368499597.0,0.0
MHImain,HKFE,2017-09-26 00:00:00,27505.0,27583.0,27289.0,27567.0,50224.0,1375893074.0,0.0
MHImain,HKFE,2017-09-27 00:00:00,27571.0,27684.0,27445.0,27653.0,34440.0,949052418.0,0.0
MHImain,HKFE,2017-09-28 00:00:00,27650.0,27659.0,27469.0,27554.0,9109.0,249996061.0,0.0
MHImain,HKFE,2017-09-29 00:00:00,27283.0,27543.0,27243.0,27510.0,43881.0,1199440160.0,0.0
MHImain,HKFE,2017-10-03 00:00:00,27510.0,28148.0,27483.0,28139.0,53546.0,1489016163.0,0.0
MHImain,HKFE,2017-10-04 00:00:00,28136.0,28513.0,28135.0,28339.0,45240.0,1279148700.0,0.0
MHImain,HKFE,2017-10-06 00:00:00,28339.0,28622.0,28279.0,28431.0,38936.0,1104417562.0,0.0
MHImain,HKFE,2017-10-09 00:00:00,28431.0,28475.0,28255.0,28352.0,51635.0,1462420381.0,0.0
MHImain,HKFE,2017-10-10 00:00:00,28350.0,28472.0,28243.0,28439.0,42915.0,1214666983.0,0.0
MHImain,HKFE,2017-10-11 00:00:00,28435.0,28607.0,28274.0,28311.0,47927.0,1362436718.0,0.0
MHImain,HKFE,2017-10-12 00:00:00,28312.0,28542.0,28226.0,28438.0,42619.0,1208424354.0,0.0
MHImain,HKFE,2017-10-13 00:00:00,28436.0,28512.0,28356.0,28461.0,36595.0,1037831105.0,0.0
MHImain,HKFE,2017-10-16 00:00:00,28460.0,28812.0,28460.0,28715.0,42694.0,1223147563.0,0.0
MHImain,HKFE,2017-10-17 00:00:00,28702.0,28762.0,28636.0,28704.0,31940.0,913929696.0,0.0
MHImain,HKFE,2017-10-18 00:00:00,28704.0,28723.0,28610.0,28676.0,30865.0,883294878.0,0.0
MHImain,HKFE,2017-10-19 00:00:00,28685.0,28776.0,28048.0,28221.0,66859.0,1900491429.0,0.0
MHImain,HKFE,2017-10-20 00:00:00,28232.0,28532.0,28178.0,28421.0,52213.0,1478965839.0,0.0
MHImain,HKFE,2017-10-23 00:00:00,28418.0,28549.0,28214.0,28324.0,49805.0,1408356582.0,0.0
MHImain,HKFE,2017-10-24 00:00:00,28329.0,28365.0,28072.0,28159.0,53664.0,1512082211.0,0.0
MHImain,HKFE,2017-10-25 00:00:00,28165.0,28363.0,28148.0,28286.0,44294.0,1249346025.0,0.0
MHImain,HKFE,2017-10-26 00:00:00,28292.0,28300.0,28032.0,28268.0,47610.0,1340213038.0,0.0
MHImain,HKFE,2017-10-27 00:00:00,28277.0,28489.0,28250.0,28425.0,51075.0,1448677941.0,0.0
MHImain,HKFE,2017-10-30 00:00:00,28431.0,28630.0,28343.0,28442.0,11558.0,328501590.0,0.0
MHImain,HKFE,2017-10-31 00:00:00,28288.0,28343.0,28160.0,28200.0,41653.0,1174192411.0,0.0
MHImain,HKFE,2017-11-01 00:00:00,28210.0,28616.0,28173.0,28570.0,49200.0,1394257921.0,0.0
MHImain,HKFE,2017-11-02 00:00:00,28571.0,28639.0,28444.0,28546.0,45558.0,1298223622.0,0.0
MHImain,HKFE,2017-11-03 00:00:00,28529.0,28611.0,28469.0,28562.0,32948.0,938917790.0,0.0
MHImain,HKFE,2017-11-06 00:00:00,28572.0,28633.0,28085.0,28610.0,68661.0,1945724684.0,0.0
MHImain,HKFE,2017-11-07 00:00:00,28609.0,29024.0,28554.0,28974.0,50461.0,1453579128.0,0.0
MHImain,HKFE,2017-11-08 00:00:00,28973.0,29128.0,28849.0,28955.0,57014.0,1649685361.0,0.0
MHImain,HKFE,2017-11-09 00:00:00,28948.0,29171.0,28870.0,29125.0,54670.0,1585163544.0,0.0
MHImain,HKFE,2017-11-10 00:00:00,29106.0,29179.0,28931.0,29076.0,57758.0,1676153426.0,0.0
MHImain,HKFE,2017-11-13 00:00:00,29068.0,29225.0,28984.0,29193.0,38300.0,1113658947.0,0.0
MHImain,HKFE,2017-11-14 00:00:00,29188.0,29275.0,29083.0,29176.0,38971.0,1134466367.0,0.0
MHImain,HKFE,2017-11-15 00:00:00,29177.0,29177.0,28867.0,28890.0,46864.0,1355602118.0,0.0
MHImain,HKFE,2017-11-16 00:00:00,28894.0,29094.0,28862.0,29056.0,42444.0,1225605523.0,0.0
MHImain,HKFE,2017-11-17 00:00:00,29072.0,29310.0,29059.0,29192.0,44971.0,1310113035.0,0.0
MHImain,HKFE,2017-11-20 00:00:00,29192.0,29238.0,29062.0,29194.0,40342.0,1174527800.0,0.0
MHImain,HKFE,2017-11-21 00:00:00,29210.0,29850.0,29201.0,29846.0,66341.0,1957168712.0,0.0
MHImain,HKFE,2017-11-22 00:00:00,29851.0,30210.0,29823.0,30048.0,70129.0,2105832136.0,0.0
MHImain,HKFE,2017-11-23 00:00:00,30048.0,30169.0,29607.0,29821.0,69650.0,2085419025.0,0.0
MHImain,HKFE,2017-11-24 00:00:00,29849.0,29959.0,29737.0,29913.0,63402.0,1891671169.0,0.0
MHImain,HKFE,2017-11-27 00:00:00,29913.0,30045.0,29642.0,29770.0,56153.0,1667572849.0,0.0
MHImain,HKFE,2017-11-28 00:00:00,29785.0,29867.0,29373.0,29656.0,56028.0,1655270878.0,0.0
MHImain,HKFE,2017-11-29 00:00:00,29660.0,29842.0,29560.0,29622.0,11381.0,335688226.0,0.0
MHImain,HKFE,2017-11-30 00:00:00,29665.0,29691.0,29139.0,29311.0,73554.0,2155722689.0,0.0
MHImain,HKFE,2017-12-01 00:00:00,29320.0,29440.0,29049.0,29111.0,77945.0,2276186355.0,0.0
MHImain,HKFE,2017-12-04 00:00:00,29107.0,29354.0,28806.0,29190.0,82771.0,2403813426.0,0.0
MHImain,HKFE,2017-12-05 00:00:00,29200.0,29250.0,28860.0,28893.0,69791.0,2024173857.0,0.0
MHImain,HKFE,2017-12-06 00:00:00,28881.0,29012.0,28165.0,28200.0,120394.0,3438025911.0,0.0
MHImain,HKFE,2017-12-07 00:00:00,28229.0,28477.0,28149.0,28323.0,88935.0,2513883335.0,0.0
MHImain,HKFE,2017-12-08 00:00:00,28305.0,28715.0,28227.0,28621.0,77191.0,2196978296.0,0.0
MHImain,HKFE,2017-12-11 00:00:00,28617.0,28981.0,28589.0,28908.0,68960.0,1982349138.0,0.0
MHImain,HKFE,2017-12-12 00:00:00,28912.0,29047.0,28739.0,28800.0,67357.0,1943989350.0,0.0
MHImain,HKFE,2017-12-13 00:00:00,28807.0,29317.0,28726.0,29221.0,78739.0,2280518500.0,0.0
MHImain,HKFE,2017-12-14 00:00:00,29205.0,29440.0,29045.0,29198.0,77104.0,2251209294.0,0.0
MHImain,HKFE,2017-12-15 00:00:00,29200.0,29213.0,28736.0,28789.0,75328.0,2174126935.0,0.0
MHImain,HKFE,2017-12-18 00:00:00,28804.0,29158.0,28723.0,29121.0,82127.0,2376158118.0,0.0
MHImain,HKFE,2017-12-19 00:00:00,29124.0,29382.0,29094.0,29253.0,60617.0,1770458466.0,0.0
MHImain,HKFE,2017-12-20 00:00:00,29245.0,29338.0,29091.0,29297.0,55189.0,1611316358.0,0.0
MHImain,HKFE,2017-12-21 00:00:00,29300.0,29448.0,29133.0,29355.0,62093.0,1818352070.0,0.0
MHImain,HKFE,2017-12-22 00:00:00,29355.0,29616.0,29326.0,29604.0,50827.0,1496935758.0,0.0
MHImain,HKFE,2017-12-27 00:00:00,29604.0,29729.0,29542.0,29670.0,42571.0,1258612886.0,0.0
MHImain,HKFE,2017-12-28 00:00:00,29666.0,29790.0,29592.0,29777.0,8149.0,241839170.0,0.0
MHImain,HKFE,2017-12-29 00:00:00,29935.0,30027.0,29872.0,29950.0,38698.0,1157734737.0,0.0
MHImain,HKFE,2018-01-02 00:00:00,29953.0,30565.0,29943.0,30535.0,54207.0,1642235986.0,0.0
MHImain,HKFE,2018-01-03 00:00:00,30531.0,30751.0,30492.0,30617.0,59258.0,1810588003.0,0.0
MHImain,HKFE,2018-01-04 00:00:00,30618.0,30795.0,30590.0,30751.0,56316.0,1725118181.0,0.0
MHImain,HKFE,2018-01-05 00:00:00,30754.0,30911.0,30693.0,30763.0,50838.0,1563758285.0,0.0
MHImain,HKFE,2018-01-08 00:00:00,30761.0,30955.0,30732.0,30836.0,57634.0,1772185905.0,0.0
MHImain,HKFE,2018-01-09 00:00:00,30836.0,31058.0,30729.0,30987.0,58882.0,1818502691.0,0.0
MHImain,HKFE,2018-01-10 00:00:00,30986.0,31300.0,30944.0,31068.0,67758.0,2103873482.0,0.0
MHImain,HKFE,2018-01-11 00:00:00,31072.0,31142.0,30981.0,31095.0,52272.0,1621613239.0,0.0
MHImain,HKFE,2018-01-12 00:00:00,31094.0,31410.0,31072.0,31398.0,56422.0,1761358032.0,0.0
MHImain,HKFE,2018-01-15 00:00:00,31405.0,31721.0,31279.0,31314.0,76486.0,2408545660.0,0.0
MHImain,HKFE,2018-01-16 00:00:00,31318.0,31957.0,31307.0,31901.0,78291.0,2475432502.0,0.0
MHImain,HKFE,2018-01-17 00:00:00,31897.0,32015.0,31673.0,31952.0,88961.0,2825517951.0,0.0
MHImain,HKFE,2018-01-18 00:00:00,31959.0,32202.0,31836.0,32064.0,93231.0,2983423741.0,0.0
MHImain,HKFE,2018-01-19 00:00:00,32068.0,32247.0,31984.0,32235.0,68579.0,2199182889.0,0.0
MHImain,HKFE,2018-01-22 00:00:00,32235.0,32382.0,32012.0,32354.0,78192.0,2517179705.0,0.0
MHImain,HKFE,2018-01-23 00:00:00,32358.0,32930.0,32325.0,32913.0,87056.0,2841715635.0,0.0
MHImain,HKFE,2018-01-24 00:00:00,32906.0,32998.0,32728.0,32901.0,90942.0,2985787236.0,0.0
MHImain,HKFE,2018-01-25 00:00:00,32903.0,33096.0,32618.0,32688.0,98367.0,3228280007.0,0.0
MHImain,HKFE,2018-01-26 00:00:00,32692.0,33203.0,32614.0,33157.0,93206.0,3068511800.0,0.0
MHImain,HKFE,2018-01-29 00:00:00,33166.0,33512.0,32857.0,32904.0,95459.0,3162335155.0,0.0
